#{"t_start": 1772341269.333074, "env_id": "None"}
r,l,t
143.71306,500,13090.852048
117.590736,500,13105.56161
139.124317,500,13116.758926
115.425575,500,13127.906929
126.678241,500,13139.032563
131.649213,500,13153.612007
128.698123,500,13164.774935
134.764614,500,13175.941996
126.188418,500,13187.09796
157.664976,500,13201.902033
162.60362,500,13213.065562
176.340057,500,13224.248157
195.393064,500,13235.438836
203.258605,500,13249.955846
194.975679,500,13261.140493
194.438337,500,13272.291959
240.745337,500,13283.965893
255.889615,500,13298.787628
261.462944,500,13310.118107
240.078252,500,13321.447503
253.315786,500,13332.801221
250.912048,500,13347.808195
245.481202,500,13359.139227
252.940945,500,13370.432785
263.482819,500,13381.762243
519.351816,1302,13415.489424
114.280697,500,13426.827549
229.964569,500,13438.161545
211.015732,636,13456.626903
135.818361,500,13467.986371
244.861511,500,13479.326439
259.036232,500,13490.625071
207.485132,500,13505.496882
213.450861,500,13516.847524
217.049452,500,13528.185867
204.884583,500,13539.54478
187.127407,500,13554.368745
194.528608,500,13565.685263
204.557735,500,13576.983029
179.717368,500,13588.321954
213.140695,500,13603.460188
296.34926,905,13623.990367
66.984706,500,13635.287095
157.767121,500,13650.211003
221.446308,500,13661.540813
203.605414,588,13675.151667
123.071925,500,13686.487239
293.811756,971,13712.087308
156.056803,500,13723.623689
202.101542,500,13735.005004
168.728094,515,13750.587462
236.148955,500,13761.867028
282.913815,859,13781.420725
101.371561,500,13792.625109
231.601242,500,13807.46012
252.959804,500,13818.73962
261.307644,500,13829.998652
293.205082,646,13848.639357
144.24607,711,13865.778627
-32.184102,500,13877.005865
-317.711143,503,13884.436409
-527.771595,500,13893.166641
-479.983112,502,13899.011085
-531.829531,500,13903.896138
-474.075735,500,13909.25277
-525.570694,500,13917.979281
-399.853284,501,13924.595457
-364.955488,503,13931.534895
-374.880391,502,13939.106881
